parameter,time,control_or_change,rainfall,boxcox_streamflow,boxcox_streamflow_residual,boxcox_dot_to_line_residual,streamflow
intercept,19,Control,1462.3182659625347,19.904474987608474,-1.044057408109584,-1.044057408109584,647.2241780305071
intercept,19,Change,1462.3182659625347,17.854474987608473,-3.0940574081095846,-1.044057408109584,475.72681707203117
intercept,20,Control,1015.5699714945113,14.969149086296154,1.8710334788227652,1.8710334788227652,292.03675244675037
intercept,20,Change,1015.5699714945113,12.919149086296155,-0.17896652117723377,1.871033478822767,196.5485596259907
intercept,21,Control,911.1316049529548,10.948544821217686,-0.31434339717079673,-0.31434339717079673,127.74833868160646
intercept,21,Change,911.1316049529548,8.898544821217687,-2.3643433971707957,-0.31434339717079673,76.2163248652274
intercept,22,Control,894.8295240034711,6.983251527667369,-3.993170840590576,-3.993170840590576,43.20400742697543
intercept,22,Change,894.8295240034711,4.933251527667368,-6.043170840590577,-3.993170840590576,20.645462210927057
intercept,23,Control,907.0558726244268,9.953188244988983,-1.238079783927109,-1.238079783927109,100.40958521326931
intercept,23,Change,907.0558726244268,7.903188244988984,-3.288079783927108,-1.2380797839271072,57.43506931345524
intercept,24,Control,1151.4858107249074,14.659544976416923,-0.8269311447842611,-0.8269311447842611,275.8923498175493
intercept,24,Change,1151.4858107249074,12.609544976416924,-2.87693114478426,-0.8269311447842611,184.34298674261768
intercept,25,Control,1156.7563182511942,11.682944002464243,-3.89614731454021,-3.89614731454021,150.98893366373184
intercept,25,Change,1156.7563182511942,9.632944002464246,-5.946147314540207,-3.8961473145402046,92.56679007949563
intercept,26,Control,1120.9219464443656,12.413909670130614,-2.5354875719059393,-2.5354875719059393,176.91009412785104
intercept,26,Change,1120.9219464443656,10.363909670130617,-4.5854875719059365,-2.5354875719059358,111.1342828379508
intercept,27,Control,959.9306531522274,13.396778364547734,1.2763762575161905,1.2763762575161905,216.47129611016575
intercept,27,Change,959.9306531522274,11.346778364547735,-0.7736237424838084,1.2763762575161905,140.01311436574977
intercept,28,Control,1083.7974977868778,14.762238901042895,0.4652054141766051,0.4652054141766051,281.17621908138364
intercept,28,Change,1083.7974977868778,12.712238901042896,-1.5847945858233938,0.4652054141766051,188.3308857685962
intercept,29,Control,1084.1282296638424,16.32149929316515,2.018654070447866,2.018654070447866,370.3696137679817
intercept,29,Change,1084.1282296638424,14.27149929316515,-0.03134592955213478,2.018654070447864,256.5530511350969
intercept,30,Control,1263.9875800739053,15.097774354451488,-2.365622081255381,-2.365622081255381,298.93422321212
intercept,30,Change,1263.9875800739053,13.047774354451493,-4.415622081255377,-2.365622081255376,201.781679977083
