year,gauge,p_mm,q_mm,bc_q,q_na_count
2002,303203,485.363851,17.34636,5.027169621103388,0
2003,303203,655.792923,95.25706,11.17609398542091,0
2004,303203,657.935429,44.29988,7.940870121166193,0
2005,303203,774.157994,86.8251,10.735931984415519,0
2006,303203,424.741494,0.077512,0.07563005526644295,0
2007,303203,511.07847,1.186271,0.8986431607464341,0
2008,303203,479.873565,0.012653000000000001,0.012601089270113566,0
2009,303203,967.220753,288.420498,17.715972251982244,0
2010,303203,650.376944,29.855906,6.5907930824205945,0
2011,303203,868.869158,264.13687600000003,17.09903794076661,0
2012,303203,625.471753,52.861544,8.610913789277856,0
2013,303203,678.604446,75.517609,10.09997994582698,0
2014,303203,521.812892,12.775286,4.278574711582839,0
2015,303203,482.316909,6.206543,2.836914529868093,0
2016,303203,861.7977980000001,149.766714,13.544560496416723,0
2017,303203,513.668968,6.8613729999999995,3.0121330838856,0
2018,303203,627.281191,23.310888,5.838696265110575,0
2019,303203,426.075546,0.35113500000000003,0.3172200676717384,0
2020,303203,865.803964,155.639515,13.763825854630818,0
2021,303203,749.464321,124.38855699999999,12.526856269302748,0
2022,303203,898.391386,NA,NA,31
1950,304040,1097.742841,NA,NA,365
1951,304040,1471.549534,NA,NA,19
1952,304040,1824.036959,1009.265764,184.763695323955,0
1953,304040,1679.400966,883.827005,168.15039397409163,0
1954,304040,1304.647111,725.840048,146.1947861257567,0
1955,304040,1404.999889,735.485362,147.57309277409442,0
1956,304040,1794.464945,915.077754,172.3509118462009,0
1957,304040,1223.540805,744.846178,148.90566200773355,0
1958,304040,1825.751428,1082.61754,194.19490610813935,0
1959,304040,1227.650024,569.100368,122.96328212756066,0
1960,304040,1329.582235,621.748237,130.95510549926536,0
1961,304040,1123.634898,478.36501,108.65452047832635,0
1962,304040,1706.058813,850.308076,163.5960360923676,0
1963,304040,981.924817,410.829869,97.47943558710355,0
1964,304040,1762.351741,968.468396,179.43097619061604,0
1965,304040,1409.486202,824.026412,159.98794823364506,0
1966,304040,1376.247005,609.215008,129.0712855461612,0
1967,304040,1221.70611,498.924319,111.96206577532753,0
1968,304040,1963.093589,1222.2896250000001,211.6499551414751,0
1969,304040,1556.132007,833.425503,161.2821470901543,0
1970,304040,1793.723115,973.442366,180.0846298181278,0
1971,304040,1676.629307,862.091928,165.20308593844354,0
1972,304040,1372.687026,679.951331,139.5616279050442,0
1973,304040,1692.080347,897.987432,170.0590768921925,0
1974,304040,1502.519222,721.078309,145.51235035990678,0
1975,304040,1994.651402,1193.452564,208.0964836787298,0
1976,304040,1333.602665,632.1571289999999,132.5111354796614,0
1977,304040,1445.94291,731.372333,146.985999886703,0
1978,304040,1378.041638,703.010451,142.91074318325488,0
1979,304040,1384.120913,676.19648,139.01312694522804,0
1980,304040,1641.637851,951.675811,177.2168281535475,0
1981,304040,1617.26536,804.993664,157.3538399976862,0
1982,304040,1220.41487,651.72724,135.41642205584134,0
1983,304040,1238.578788,644.397869,134.3313887899531,0
1984,304040,1504.663196,776.183223,153.33128743235542,0
1985,304040,1180.014029,530.248549,116.92543966555439,0
1986,304040,1488.741222,827.439219,160.45837185372926,0
1987,304040,1410.057217,745.619847,149.0155770769971,0
1988,304040,1549.888413,822.979306,159.84349942299343,0
1989,304040,1041.245404,375.039886,91.33943537642071,0
1990,304040,1485.120475,669.954641,138.0993417371293,0
1991,304040,1504.226242,872.539298,166.62246397794138,0
1992,304040,1344.415604,693.105291,141.47614092623311,0
1993,304040,1392.702294,661.065498,136.79365755908097,0
1994,304040,1767.629315,1024.736072,186.76915921449356,0
1995,304040,1489.662678,749.562426,149.5751779911613,0
1996,304040,1865.79201,985.799703,181.70432441334285,0
1997,304040,1311.291627,653.750516,135.71531173838383,0
1998,304040,1295.209285,512.689081,114.15408982041792,0
1999,304040,1213.999535,540.434721,118.52068782740072,0
2000,304040,1470.747526,647.770067,134.83105486675217,0
2001,304040,1528.796906,727.360371,146.4123954575327,0
2002,304040,1586.527723,935.979501,175.13679403258945,0
2003,304040,1590.069278,837.753862,161.87668872209255,0
2004,304040,1820.361572,918.370278,172.79098914850755,0
2005,304040,1633.5366549999999,739.794672,148.18716617627263,0
2006,304040,1242.071031,668.876443,137.94124349612963,0
2007,304040,1356.705571,653.7240850000001,135.7114089607713,0
2008,304040,1227.046516,530.687753,116.99440812171112,0
2009,304040,1650.681672,811.264063,158.22366196666513,0
2010,304040,1325.457539,570.728944,123.21367362937826,0
2011,304040,1593.215451,735.261868,147.5412161813107,0
2012,304040,1382.158494,621.051342,130.850653472026,0
2013,304040,1663.637639,814.161287,158.62489177737442,0
2014,304040,1316.542983,536.828728,117.95697692632093,0
2015,304040,1270.760382,602.935481,128.1231484750042,0
