year,gauge,p_mm,standardised_warm_to_cool_season_rainfall_ratio,bc_q,standardised_warm_season_to_annual_rainfall_ratio,q_mm,q_na_count,CO2,drought,included_in_calibration
1990,405251,895.00831333,-0.38142919696381716,29.349195496963745,-0.16466015536945272,173.10545281,0,74.44999999999999,FALSE,TRUE
1991,405251,901.49353824,-0.24862786163738748,26.937735941025892,-0.09120454019922253,149.60285076,0,75.69999999999999,FALSE,TRUE
1992,405251,1136.98105418,0.13756607062623927,31.382348708611723,0.06077696940516564,194.10633563,0,76.54000000000002,FALSE,TRUE
1993,405251,1210.92312852,0.41071132475134875,38.09872951140688,0.13406341750601602,271.02857841,0,77.20999999999998,FALSE,TRUE
1994,405251,651.78416301,0.40230017279407737,17.464098577240485,0.13209617758678383,72.51285227,0,78.95999999999998,FALSE,TRUE
1995,405251,1041.79667813,-0.22218855555886524,28.74507235889164,-0.07819857552587017,167.07355146999998,0,80.97000000000003,FALSE,TRUE
1996,405251,1195.40707104,-0.021075674299089298,35.78487372206089,0.0070071058589071256,243.23473085,0,82.74000000000001,FALSE,TRUE
1997,405251,644.38893511,-0.0705501461262209,16.317073077026958,-0.011955631490023821,64.88535118,0,83.88,FALSE,TRUE
1998,405251,839.46105551,-0.1379081681878671,21.662660208171765,-0.03975287675322309,103.62260394,0,86.839999999999975,FALSE,TRUE
1999,405251,938.02290687,-0.005942665679734338,20.74930256358743,0.01258094950324723,96.43415123,0,88.54000000000002,FALSE,TRUE
2000,405251,965.29747933,-0.05702480554001954,NA,-0.006655425736900811,NA,28,89.70999999999998,FALSE,FALSE
2001,405251,650.29623807,0.05592504384972141,16.22213158474088,0.034346468292807575,64.27106109,0,91.32,FALSE,TRUE
2002,405251,485.32916411,0.0037370964297219755,9.171648430721845,0.01609310178316309,26.17458537,0,93.44999999999999,FALSE,TRUE
2003,405251,954.43168119,-0.21390638770060733,20.63217637932952,-0.07422216759732764,95.52909988,0,95.98000000000002,FALSE,TRUE
2004,405251,745.55418198,-0.1041207686518344,13.907074383467837,-0.02550891616068951,50.10928195,0,97.69999999999999,FALSE,TRUE
2005,405251,916.63919042,0.11129592495416829,18.931319452154504,0.0525379311395861,82.81937554,0,99.98000000000002,FALSE,TRUE
2006,405251,387.64833083,-0.19075807590932364,7.511698856822286,-0.06334582340721695,19.45201147,0,102.08999999999997,FALSE,TRUE
2007,405251,713.83002046,0.15538132064393528,8.06442884107788,0.06622872879002173,21.59123509,0,104.01999999999998,FALSE,TRUE
2008,405251,654.11522624,0.29561168115452374,6.219026866337354,0.10567568582292308,14.8435102,0,105.82999999999998,FALSE,TRUE
2009,405251,672.9927013,-0.21443960075420315,7.40393230237311,-0.07447680101388965,19.04659934,0,107.63999999999999,FALSE,TRUE
2010,405251,1404.42852534,0.48833681216692404,36.59222008143296,0.15149216840708568,252.77943368,0,110.10000000000002,FALSE,TRUE
2011,405251,998.1333138900001,0.5567127634749931,22.140147932357728,0.16583360795712454,107.47252113,0,111.85000000000002,FALSE,TRUE
2012,405251,884.64708754,0.3968001573750852,20.517632693353807,0.13080111296019648,94.64770345,0,114.06,FALSE,TRUE
2013,405251,864.88688529,-0.050567162735291826,16.405098863214274,-0.004156250205950729,65.45723294,0,116.74000000000001,FALSE,TRUE
2014,405251,793.21477991,-0.18471470810715562,13.867579084885888,-0.06056245634582236,49.88142324,0,118.81,FALSE,TRUE
1959,405263,1144.77467849,-0.058069338035057094,NA,-0.013293008261626993,NA,365,35.98000000000002,FALSE,FALSE
1960,405263,1534.94590485,-0.2851560574403726,NA,-0.11019786331755027,NA,366,36.910000000000025,FALSE,FALSE
1961,405263,1054.55003823,-0.20660738529679246,NA,-0.07335955612544581,NA,365,37.639999999999986,FALSE,FALSE
1962,405263,1234.2884305,-0.11227822732259551,NA,-0.03391730746402305,NA,365,38.44999999999999,FALSE,FALSE
1963,405263,1229.74402607,-0.07151170078805413,NA,-0.01827977783391216,NA,365,38.99000000000001,FALSE,FALSE
1964,405263,1496.21788245,-0.2462460362334159,NA,-0.09145426349475155,NA,366,39.620000000000005,FALSE,FALSE
1965,405263,1004.29474144,-0.2355699777431176,NA,-0.08648478251217728,NA,365,40.04000000000002,FALSE,FALSE
1966,405263,1347.85161536,0.21132723139809306,NA,0.07190828246053332,NA,365,41.370000000000005,FALSE,FALSE
1967,405263,737.07505768,-0.15916126714150947,NA,-0.052919662700754544,NA,365,42.18000000000001,FALSE,FALSE
1968,405263,1538.55409476,-0.008166034446340342,NA,0.004529378720652288,NA,366,43.05000000000001,FALSE,FALSE
1969,405263,1224.90668698,0.023206896360137508,NA,0.015207417458719785,NA,365,44.620000000000005,FALSE,FALSE
1970,405263,1518.6335849499999,-0.08673289113665716,NA,-0.02402636223621807,NA,365,45.68000000000001,FALSE,FALSE
1971,405263,1439.53440983,0.19957545236128282,NA,0.0686939329110583,NA,365,46.31999999999999,FALSE,FALSE
1972,405263,902.87918978,-0.11755102543248142,NA,-0.03599848555137558,NA,366,47.45999999999998,FALSE,FALSE
1973,405263,1645.03170694,0.4558642458751715,NA,0.1308671252402639,NA,365,49.68000000000001,FALSE,FALSE
1974,405263,1718.5804665599999,-0.246234283137779,NA,-0.09144875272593456,NA,365,50.19,FALSE,FALSE
1975,405263,1504.6177301,0.010544047222860953,NA,0.010944471117824761,NA,129,51.129999999999995,FALSE,FALSE
1976,405263,1176.27167651,0.05982429421285462,131.79458326149285,0.027190756657161974,360.19374168,0,52.02999999999997,FALSE,TRUE
1977,405263,1065.17039821,-0.2017031231665125,144.20328449726213,-0.07118706471892272,403.17153331,0,53.839999999999975,FALSE,TRUE
1978,405263,1554.44312488,-0.036577568385701476,201.78129366596107,-0.0054868929409745415,614.58778999,0,55.410000000000025,FALSE,TRUE
1979,405263,1101.461983,-0.07543777768544713,141.77729418556802,-0.019751759057578977,394.68999596,0,56.839999999999975,FALSE,TRUE
1980,405263,1251.4770099099999,-0.1282318425391651,145.80797923528806,-0.0402568237703943,408.80233937,0,58.75999999999999,FALSE,TRUE
1981,405263,1307.81750511,-0.2163362184628712,181.21617239598723,-0.07771155370992605,536.973482,0,60.120000000000005,FALSE,TRUE
1982,405263,800.76303593,0.08864502467511792,47.17017669753788,0.036278782694645184,100.38802778,0,61.48000000000002,FALSE,TRUE
1983,405263,1258.57475611,-0.1458498032121469,144.9667616988789,-0.04740828889189219,405.84850694,0,63.14999999999998,FALSE,TRUE
1984,405263,1217.93854321,-0.03985829534926488,134.0667513760515,-0.006665480083583031,367.9872161,0,64.87,FALSE,TRUE
1985,405263,1328.63621385,0.0011856601324845562,149.4808131668633,0.007753347786333908,421.75113586,0,66.35000000000002,FALSE,TRUE
1986,405263,1280.07467915,0.0907954594395235,187.68405878747262,0.03694519404391222,561.14667788,0,67.61000000000001,FALSE,TRUE
1987,405263,1201.51179599,0.05784206242314616,141.74930585545968,0.026554788749422686,394.59236596,0,69.31,FALSE,TRUE
1988,405263,1323.51540184,-0.05547368417472387,152.86390778548173,-0.012339440704749627,433.75247315,0,71.69,FALSE,TRUE
1989,405263,1321.55822748,0.0017325655094454495,184.43739992479178,0.007940799338904736,548.98474946,0,73.19999999999999,FALSE,TRUE
1990,405263,1479.18578838,-0.3076295240661824,210.3092787895865,-0.12149870378812144,647.40029188,0,74.44999999999999,FALSE,TRUE
1991,405263,1360.77635874,-0.26126058968453963,189.8601710497237,-0.09856744713741439,569.32937912,0,75.69999999999999,FALSE,TRUE
1992,405263,1440.35935471,0.0894416070467795,185.18400164799144,0.03652582654319908,551.77656983,0,76.54000000000002,FALSE,TRUE
1993,405263,1402.52556534,0.19524378543805399,203.3306427144826,0.06749911490425575,620.52250787,0,77.20999999999998,FALSE,TRUE
1994,405263,1040.98377066,0.33120794970392875,106.64618487115648,0.1025800599879656,276.38650481,0,78.95999999999998,FALSE,TRUE
1995,405263,1254.87273405,-0.047633000244138635,159.778869493251,-0.009477122087577339,458.49888672,0,80.97000000000003,FALSE,TRUE
1996,405263,1371.36988035,-0.008903235457255021,204.57224364359553,0.004273720557935012,625.286992,0,82.74000000000001,FALSE,TRUE
1997,405263,813.28888554,-0.060361226486230435,59.489356899815384,-0.014137480956951942,133.69159771,0,83.88,TRUE,TRUE
1998,405263,1201.66200162,0.06228650105902622,127.88352030772943,0.027978732229460346,346.8613286,0,86.839999999999975,TRUE,TRUE
1999,405263,1004.15099275,0.06221801911150415,84.71235392818299,0.027956845734880664,207.37640019,0,88.54000000000002,TRUE,TRUE
2000,405263,1212.80810131,-0.16504563196565547,174.27865627348075,-0.05538631578087083,511.29575462,0,89.70999999999998,TRUE,TRUE
2001,405263,1154.15347751,0.1542637842184026,114.29614381672349,0.05592022910954769,301.38515897,0,91.32,TRUE,TRUE
2002,405263,982.45627316,-0.048517980418740114,83.33135674926154,-0.009798837522152659,203.17427235,0,93.44999999999999,TRUE,TRUE
2003,405263,1215.0052426,-0.15250537869786507,153.86834838241936,-0.050152109468700024,437.32916052,0,95.98000000000002,TRUE,TRUE
2004,405263,1119.89908066,-0.07496184271781858,141.24593281847257,-0.01957294221534983,392.83734279,0,97.69999999999999,TRUE,TRUE
2005,405263,1213.89821207,0.07728076895284419,120.55674857216071,0.03273036395419138,322.17302806,0,99.98000000000002,FALSE,TRUE
2006,405263,733.65890067,-0.26287746340106033,31.23893001894363,-0.0993422692079926,60.62931218,0,102.08999999999997,FALSE,TRUE
2007,405263,1289.79245497,0.09992762942509004,160.62682814380858,0.039757543437119125,461.55307627,0,104.01999999999998,FALSE,TRUE
2008,405263,1012.9551456,0.17023576548668218,98.64094726619095,0.06049323817762303,250.72435219,0,105.82999999999998,FALSE,TRUE
2009,405263,1041.43373777,-0.22341205328878044,138.69270437537315,-0.08091264748867139,383.9607475,0,107.63999999999999,FALSE,TRUE
2010,405263,1440.62812849,0.3326208429341958,213.09868800751246,0.1029200508755691,658.2096703,0,110.10000000000002,FALSE,TRUE
2011,405263,1389.61908326,0.3323563619641433,NA,0.1028564434691962,NA,17,111.85000000000002,FALSE,FALSE
2012,405263,1332.29743979,-0.01675671961865255,NA,0.0015363202832453515,NA,366,114.06,FALSE,FALSE
2013,405263,1143.09655641,-0.1412904114865059,NA,-0.04554210566309652,NA,365,116.74000000000001,FALSE,FALSE
2014,405263,1074.96175159,-0.13443337423619073,NA,-0.04275586402076742,NA,365,118.81,FALSE,FALSE
1959,405264,1318.87593367,-0.06690706290037862,NA,-0.017946348049579453,NA,365,35.98000000000002,FALSE,FALSE
1960,405264,1873.29114995,-0.25229947969937105,NA,-0.09928106303862883,NA,366,36.910000000000025,FALSE,FALSE
1961,405264,1143.08639405,-0.16839538859344438,NA,-0.0599867335381391,NA,365,37.639999999999986,FALSE,FALSE
1962,405264,1471.25427823,-0.12263239534915527,NA,-0.04034821482070522,NA,365,38.44999999999999,FALSE,FALSE
1963,405264,1442.47476493,-0.05141206953187605,NA,-0.011990997198811526,NA,365,38.99000000000001,FALSE,FALSE
1964,405264,1699.28580873,-0.2194809558331321,NA,-0.08337086798944937,NA,366,39.620000000000005,FALSE,FALSE
1965,405264,1233.33577095,-0.2222741472132596,NA,-0.08469694675375955,NA,365,40.04000000000002,FALSE,FALSE
1966,405264,1585.38471128,0.14281802833710178,NA,0.05403364322776966,NA,365,41.370000000000005,FALSE,FALSE
1967,405264,928.50431667,-0.14038886384769977,NA,-0.0478288267237173,NA,365,42.18000000000001,FALSE,FALSE
1968,405264,1797.00621957,-0.08641955945488433,NA,-0.025611343389658092,NA,366,43.05000000000001,FALSE,FALSE
1969,405264,1311.3232605599999,0.09818119878130283,NA,0.04014235858465415,NA,365,44.620000000000005,FALSE,FALSE
1970,405264,1648.12699394,-0.051811010088819054,NA,-0.012142897688965149,NA,365,45.68000000000001,FALSE,FALSE
1971,405264,1692.19246621,0.11713784594886101,NA,0.04612646309737084,NA,365,46.31999999999999,FALSE,FALSE
1972,405264,1085.25084151,-0.10581421806274316,NA,-0.03341928781228587,NA,366,47.45999999999998,FALSE,FALSE
1973,405264,1912.42684813,0.29522603751484344,NA,0.09671374011999184,NA,365,49.68000000000001,FALSE,FALSE
1974,405264,1794.10899724,-0.17759383576430454,NA,-0.0640792695900399,NA,365,50.19,FALSE,FALSE
1975,405264,1694.65588941,0.021806631452209846,NA,0.014676193065178367,NA,80,51.129999999999995,FALSE,FALSE
1976,405264,1352.0547169,0.06452845408469976,109.64986601811657,0.02919728934351118,398.91997006,0,52.02999999999997,FALSE,TRUE
1977,405264,1322.71953148,-0.2375183027615479,128.53800650359088,-0.09202515911363313,494.00361719,0,53.839999999999975,FALSE,TRUE
1978,405264,1692.56788727,0.06644823186585025,132.323261152256,0.02983306518240142,513.69132227,0,55.410000000000025,FALSE,TRUE
1979,405264,1308.15325614,-0.10006542450845679,115.62185818511028,-0.031084837638134244,428.39801424,0,56.839999999999975,FALSE,TRUE
1980,405264,1527.53065336,-0.16782461354900813,123.92072925109467,-0.05973443569701098,470.26742407,0,58.75999999999999,FALSE,TRUE
1981,405264,1481.96935016,-0.2219268698257174,146.755632958297,-0.08453179736947342,590.57993162,0,60.120000000000005,FALSE,TRUE
1982,405264,908.09517293,-0.03525599931875045,51.78461951579732,-0.0059016295383819695,146.43596025,0,61.48000000000002,FALSE,TRUE
1983,405264,1457.40241526,-0.12304328722925362,114.96183150504817,-0.040519381008393196,425.1128387,0,63.14999999999998,FALSE,TRUE
1984,405264,1480.88705277,0.024535317328768458,132.57461839798788,0.015625531264703618,515.00586474,0,64.87,FALSE,TRUE
1985,405264,1402.00782769,-0.011347647441868891,117.02607773345419,0.0028922662389218035,435.40951472,0,66.35000000000002,FALSE,TRUE
1986,405264,1585.34235497,0.047932089274287826,151.68267504586223,0.02364188161096553,617.4676264,0,67.61000000000001,FALSE,TRUE
1987,405264,1297.28917539,0.03637406114225883,111.66542892170258,0.019709236132427865,408.80652124,0,69.31,FALSE,TRUE
1988,405264,1504.14433087,-0.004831353745390343,122.81358510796565,0.005245334626162945,464.62219171,0,71.69,FALSE,TRUE
1989,405264,1599.57980863,0.042781092817745,164.56457879734003,0.021895790988982533,689.23393079,0,73.19999999999999,FALSE,TRUE
1990,405264,1569.30446984,-0.26090867391672173,154.05350338488705,-0.10357725685457425,630.51791269,0,74.44999999999999,FALSE,TRUE
1991,405264,1587.34139131,-0.23442162987270104,149.94255782095146,-0.09052394085673743,607.9353198,0,75.69999999999999,FALSE,TRUE
1992,405264,1739.26022439,0.07687455570676816,161.83461666457674,0.03326159458199063,673.85135065,0,76.54000000000002,FALSE,TRUE
1993,405264,1756.09246345,0.28098763590781595,173.42450648877482,0.09300850362172436,739.78283499,0,77.20999999999998,FALSE,TRUE
1994,405264,1154.19217948,0.17882835198952807,112.84134070687982,0.06475204132825924,414.60399698,0,78.95999999999998,FALSE,TRUE
1995,405264,1491.11885351,-0.15014955210207537,142.06358772364297,-0.052015243080829,565.27257711,0,80.97000000000003,FALSE,TRUE
1996,405264,1715.11031468,-0.04212127268862831,182.3337024941028,-0.008474464471865062,791.55323337,0,82.74000000000001,FALSE,TRUE
1997,405264,899.30048939,-0.06365959105941743,66.41393800331787,-0.016688710323550626,203.85649568,0,83.88,FALSE,TRUE
1998,405264,1272.63737744,0.059868088190229485,115.8674058736275,0.027648045315845693,429.62189654,0,86.839999999999975,TRUE,TRUE
1999,405264,1259.09677615,0.12385352916606596,88.05668761509119,0.048216121900794384,297.21646926,0,88.54000000000002,TRUE,TRUE
2000,405264,1443.39223333,-0.14836901978193995,149.97260615321815,-0.05124756303569905,608.09958975,0,89.70999999999998,TRUE,TRUE
2001,405264,1293.23567976,0.3168663381051693,99.01610219556778,0.10224358194714733,347.84661664,0,91.32,TRUE,TRUE
2002,405264,1084.54629483,-0.017477776555511637,82.87235817508592,6.617261214035275e-4,274.01926333,0,93.44999999999999,TRUE,TRUE
2003,405264,1443.14379682,-0.15166008863778502,143.16539107877495,-0.052667923517134285,571.18890841,0,95.98000000000002,TRUE,TRUE
2004,405264,1459.34331042,-0.08850795812986822,120.77263015947324,-0.026442908004922883,454.26310114,0,97.69999999999999,FALSE,TRUE
2005,405264,1439.66306541,0.0671204262057058,115.19673849179486,0.030055345103897235,426.28128178000003,0,99.98000000000002,FALSE,TRUE
2006,405264,851.85040247,-0.12513530055975575,43.14014286846297,-0.041392265776984516,115.01482345,0,102.08999999999997,FALSE,TRUE
2007,405264,1384.05540704,-0.005253721679701173,81.17834193306973,0.005093372882829628,266.5488377,0,104.01999999999998,FALSE,TRUE
2008,405264,1208.4188247499999,0.10122699864880891,73.8849206523571,0.04111246197863433,235.02414122,0,105.82999999999998,FALSE,TRUE
2009,405264,1232.91959151,-0.21057297356871707,103.35738439039832,-0.07917562408036771,368.47324752,0,107.63999999999999,FALSE,TRUE
2010,405264,1818.6105119,0.2555913313944439,155.76644635405836,0.08626378894335679,639.99168106,4,110.10000000000002,FALSE,TRUE
2011,405264,1688.53418825,0.3261844663863984,154.02027085117246,0.10458779725296152,630.33448431,0,111.85000000000002,FALSE,TRUE
2012,405264,1492.5897162,-0.04221791714149692,144.16280853779307,-0.008510837713271269,576.55876624,0,114.06,FALSE,TRUE
2013,405264,1362.70614374,-0.1133267693234229,117.22880606579645,-0.03649591057326973,436.42425849,0,116.74000000000001,FALSE,TRUE
2014,405264,1337.77219873,-0.21891907164082158,105.66817966493672,-0.08310472706246741,379.57969691,0,118.81,FALSE,TRUE
1959,405274,588.37472809,0.2232629343774708,NA,0.08107058391710764,NA,365,35.98000000000002,FALSE,FALSE
1960,405274,950.93912966,-0.35771030909608775,NA,-0.13625835200036873,NA,366,36.910000000000025,FALSE,FALSE
1961,405274,613.19945606,-0.17299571371176337,NA,-0.04955093275931344,NA,365,37.639999999999986,FALSE,FALSE
1962,405274,702.13383126,-0.13340652794898178,NA,-0.03358160552734579,NA,365,38.44999999999999,FALSE,FALSE
1963,405274,805.1558422,-0.16100016536339878,NA,-0.04462700147053633,NA,365,38.99000000000001,FALSE,FALSE
1964,405274,893.85203738,-0.3327556615951845,NA,-0.12320286369514372,NA,366,39.620000000000005,FALSE,FALSE
1965,405274,661.88614241,-0.31515868119285484,NA,-0.1142739783079974,NA,365,40.04000000000002,FALSE,FALSE
1966,405274,920.12364169,0.35088795042469767,NA,0.11253796478138217,NA,365,41.370000000000005,FALSE,FALSE
1967,405274,457.94008221,-0.31564018805717486,NA,-0.11451533862728458,NA,365,42.18000000000001,FALSE,FALSE
1968,405274,925.69089759,-0.2422293613818553,NA,-0.07952383434815441,NA,366,43.05000000000001,FALSE,FALSE
1969,405274,666.87309751,0.08346858220455167,NA,0.04151390600548671,NA,365,44.620000000000005,FALSE,FALSE
1970,405274,818.87839658,-0.024516531759944726,NA,0.006513158056252022,NA,365,45.68000000000001,FALSE,FALSE
1971,405274,791.00054431,0.04555701311485205,NA,0.02971134402480008,NA,365,46.31999999999999,FALSE,FALSE
1972,405274,461.00135895,0.07712745565442047,NA,0.03957432678959205,NA,366,47.45999999999998,FALSE,FALSE
1973,405274,1197.03586841,0.31232369437077845,NA,0.10344459498243003,NA,365,49.68000000000001,FALSE,FALSE
1974,405274,982.82921271,-0.15151029679189099,NA,-0.04078469593997447,NA,365,50.19,FALSE,FALSE
1975,405274,912.02241786,0.13207223646163346,NA,0.05594126720739939,NA,365,51.129999999999995,FALSE,FALSE
1976,405274,558.15625043,0.19258520462786022,NA,0.07288313945032038,NA,366,52.02999999999997,FALSE,FALSE
1977,405274,648.33233745,-0.1174052188139113,NA,-0.027349866352078256,NA,161,53.839999999999975,FALSE,FALSE
1978,405274,886.21263538,0.1456914694679946,14.703167473531273,0.05984969449106958,116.27552606,0,55.410000000000025,FALSE,TRUE
1979,405274,719.77445774,-0.27465752575402563,16.802026771517415,-0.09454490224667988,154.11174373,0,56.839999999999975,FALSE,TRUE
1980,405274,737.15516371,-0.16921232820556986,14.410779711554001,-0.04798974655477689,111.49750601,0,58.75999999999999,FALSE,TRUE
1981,405274,907.99470191,-0.33187346323209566,23.944925899600253,-0.12274986749160927,332.8533024,0,60.120000000000005,FALSE,TRUE
1982,405274,391.90366861,0.0884211376809313,2.9996119753235155,0.04301933933331137,7.07047328,0,61.48000000000002,FALSE,TRUE
1983,405274,838.44456607,-0.3135338136977467,19.623801857219355,-0.11346070963194127,215.1754335,0,63.14999999999998,FALSE,TRUE
1984,405274,754.89578955,0.14738289341071031,15.37220050969429,0.06033113364122272,127.65652984,0,64.87,FALSE,TRUE
1985,405274,741.461549,-0.04302231822490532,13.097802596079982,6.462955860647712e-5,91.48126507,0,66.35000000000002,FALSE,TRUE
1986,405274,812.17690184,-0.1435689049711688,18.535487018957642,-0.037604723108477955,190.19935856,0,67.61000000000001,FALSE,TRUE
1987,405274,765.33777189,-0.04282330842413218,16.634589194996657,1.3472995623936557e-4,150.86123214,0,69.31,FALSE,TRUE
1988,405274,932.31508148,-0.17502718092036085,19.984552236234585,-0.05039234186331404,223.85795954,0,71.69,FALSE,TRUE
1989,405274,920.53138492,-0.12652949624390653,21.796121374660526,-0.030888072050963444,270.56215903,0,73.19999999999999,FALSE,TRUE
1990,405274,740.78844665,-0.3855456932541717,18.00116390538343,-0.15139367485611038,178.59734457,0,74.44999999999999,FALSE,TRUE
1991,405274,766.85816227,-0.27554674344042257,17.70804123800716,-0.09496624667604192,172.41489232,0,75.69999999999999,FALSE,TRUE
1992,405274,928.70679178,0.17190350794558873,19.439874662287885,0.0672142685838768,210.82648773,0,76.54000000000002,FALSE,TRUE
1993,405274,1024.83246873,0.3260616273186624,22.817069353622905,0.1067231261703055,299.20972256,0,77.20999999999998,FALSE,TRUE
1994,405274,535.20571144,0.44313952208492735,5.67766139489926,0.13297994100227434,18.77445306,0,78.95999999999998,FALSE,TRUE
1995,405274,841.76632105,-0.23796879326798104,18.1204412845988,-0.07759889373284051,181.1499608,0,80.97000000000003,FALSE,TRUE
1996,405274,971.8660165,-0.06969506689003568,22.637279602105632,-0.009482999414742455,294.04124341,0,82.74000000000001,FALSE,TRUE
1997,405274,549.97431477,-0.03910974693750291,8.719867594025263,0.001439786293569667,40.807851750000005,0,83.88,FALSE,TRUE
1998,405274,696.52011445,-0.14812975297271436,13.015023690258158,-0.039427115965370796,90.29702734,0,86.839999999999975,FALSE,TRUE
1999,405274,743.83955913,-0.03024308705043266,13.133567076634668,0.004532703606457689,91.99573127,0,88.54000000000002,FALSE,TRUE
2000,405274,765.0308311,-0.11914952747221152,16.413140916081492,-0.028023170031040878,146.62483997,0,89.70999999999998,FALSE,TRUE
2001,405274,577.83653606,0.10786635735045103,8.975409081275714,0.04885156398923102,43.12482649,0,91.32,TRUE,TRUE
2002,405274,456.15706793,0.09259549143205836,4.572545591873128,0.04428186021820418,13.138157470000001,0,93.44999999999999,TRUE,TRUE
2003,405274,779.6331322999999,-0.22550979019639594,14.351584957093696,-0.07203251571025088,110.54455391,0,95.98000000000002,TRUE,TRUE
2004,405274,605.89809466,-0.1639183405595802,9.086016854254378,-0.04581790103905453,44.15117895,0,97.69999999999999,TRUE,TRUE
2005,405274,738.14172822,0.07866707423569519,12.690270882209203,0.040046506179993946,85.73871395,0,99.98000000000002,TRUE,TRUE
2006,405274,356.55979574,-0.13777648142026844,1.4992281551727593,-0.035305295893719724,3.21758694,0,102.08999999999997,TRUE,TRUE
2007,405274,598.11479889,0.1231540058605356,5.862056026202745,0.05335076431756347,19.83180032,0,104.01999999999998,TRUE,TRUE
2008,405274,597.85788009,0.4769229676812504,4.8299567932479714,0.14003805589699708,14.34581973,0,105.82999999999998,TRUE,TRUE
2009,405274,579.6467095,-0.24758199010591914,6.326213708397679,-0.08195787743834748,22.64613459,0,107.63999999999999,TRUE,TRUE
2010,405274,1177.25760794,0.6153531060166914,22.175972546019356,0.16683362539454077,281.02217591,0,110.10000000000002,FALSE,TRUE
2011,405274,810.2794749,0.5874569788176739,10.664283108353283,0.1616916333917528,60.37953035,0,111.85000000000002,FALSE,TRUE
2012,405274,690.72650061,0.3906888026807739,14.008369017888759,0.12157576757807825,105.11406281,0,114.06,FALSE,TRUE
2013,405274,674.20759542,-0.11793949733534659,12.547132709581415,-0.02755594301777492,83.77369147,0,116.74000000000001,FALSE,TRUE
